customer_id,first_name,last_name,email,address_id,active
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,0
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,0
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,0
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,0
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,0
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,1
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,0
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,1
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,0
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,0
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,1
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,1
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,1
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,0
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,1
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,0
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,1
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,0
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,1
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,1
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,1
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,0
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,1
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,1
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,0
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,1
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,1
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,1
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,1
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,0
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,1
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,0
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,0
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,1
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,0
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,1
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,1
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,1
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,1
55,DORIS,REED,DORIS.REED@sakilacustomer.org,59,1
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,1
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,1
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,1
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,1
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,1
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,1
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,0
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,1
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,1
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,0
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,1
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,1
